,sub_type,listing_type,tom,building_age,total_floor_count,floor_no,room_count,size,heating_type,price
218834,0,1,30,4,9,13,6,150.0,8,324000.0
264772,0,1,58,1,3,11,4,95.0,8,180000.0
304905,0,2,47,4,3,13,6,140.0,11,4200.0
143918,0,1,31,8,3,32,4,97.0,8,290000.0
259162,0,1,3,5,10,17,6,122.0,8,290000.0
14192,0,1,8,28,7,14,6,130.0,4,325000.0
27470,0,1,69,18,4,21,4,85.0,7,141000.0
28009,0,1,158,13,15,1,6,150.0,7,238000.0
48511,0,1,60,8,4,13,4,110.0,7,285000.0
350249,0,1,19,8,3,22,4,80.0,13,85000.0
71776,0,1,90,3,4,14,1,100.0,7,265000.0
137235,0,1,30,23,5,24,4,90.0,8,170000.0
132249,0,1,30,0,4,33,4,90.0,8,85000.0
319819,0,1,53,0,4,21,4,68.0,11,440000.0
374267,8,1,30,5,2,27,6,125.0,6,490000.0
202999,0,1,97,33,3,13,4,90.0,8,330000.0
269105,0,1,30,18,3,11,4,105.0,8,156000.0
258111,0,1,11,18,9,17,4,108.0,8,148000.0
122569,0,1,30,3,3,27,6,100.0,8,217000.0
335062,0,1,86,1,3,24,4,70.0,10,405000.0
271657,0,1,39,1,4,11,4,75.0,8,220000.0
63548,0,2,1,2,4,11,4,110.0,7,4000.0
260048,0,1,64,2,7,17,6,150.0,8,295000.0
148543,0,1,31,0,3,32,6,120.0,8,140000.0
63090,0,1,62,8,3,11,6,120.0,7,175000.0
1421,6,1,43,2,1,34,4,87.0,15,62000.0
295712,0,2,30,8,15,2,6,170.0,11,4950.0
7719,0,1,28,0,20,1,4,90.0,4,400000.0
109065,0,1,58,8,5,21,6,110.0,8,159000.0
364503,0,1,61,0,3,11,4,95.0,12,130000.0
230482,0,1,60,8,15,14,6,120.0,8,205000.0
6062,0,1,34,0,3,13,6,160.0,15,490000.0
176759,0,1,64,13,3,0,6,110.0,8,172000.0
292355,0,1,13,0,6,11,4,115.0,8,218000.0
171686,0,1,41,0,5,0,4,110.0,8,220000.0
231838,0,1,0,0,5,14,6,140.0,8,260000.0
341226,0,1,4,13,4,0,6,130.0,10,285000.0
30228,10,1,56,13,2,30,4,100.0,7,255000.0
65996,0,1,30,3,3,13,4,100.0,7,205000.0
339711,0,1,60,0,4,11,4,95.0,10,195000.0
388113,0,1,30,2,4,34,4,90.0,8,360000.0
242922,0,1,30,23,5,15,6,115.0,8,250000.0
315029,0,1,0,0,9,11,6,160.0,11,315000.0
115126,0,1,60,0,10,18,4,90.0,8,200000.0
290838,0,1,30,1,6,11,8,172.0,8,341000.0
53099,0,1,30,4,3,0,4,75.0,7,135000.0
233794,0,1,63,0,4,14,4,90.0,8,225000.0
121610,0,1,30,0,5,27,4,110.0,8,165000.0
25932,0,1,72,3,15,11,4,100.0,7,440000.0
136446,0,1,11,0,5,24,6,135.0,8,345000.0
114101,0,1,31,0,5,21,4,95.0,8,110000.0
42154,0,1,30,8,5,13,6,120.0,7,275000.0
47360,0,1,90,8,4,11,4,102.0,7,499000.0
189534,0,1,0,18,4,13,4,85.0,8,245000.0
248323,0,1,54,0,6,15,11,120.0,8,229000.0
81333,0,1,79,8,3,13,6,155.0,7,435000.0
376729,7,1,1,2,4,34,4,80.0,8,300000.0
292962,0,1,91,0,7,11,6,135.0,8,270000.0
166898,0,1,98,0,4,0,4,93.0,8,158000.0
359580,0,1,68,0,3,11,6,145.0,14,330000.0
51599,0,1,54,3,4,0,4,85.0,7,425000.0
104305,0,1,52,0,6,21,1,75.0,8,121999.0
195724,0,1,72,0,4,13,4,90.0,8,134500.0
91967,0,1,21,0,3,11,4,98.0,8,185000.0
38875,8,2,48,3,2,30,8,140.0,7,75000.0
285947,0,1,92,0,5,11,4,90.0,8,260000.0
364304,10,1,5,13,2,25,11,150.0,12,470000.0
83471,0,1,5,13,4,13,4,70.0,7,230000.0
259762,0,1,21,0,10,17,6,140.0,8,319000.0
75292,0,1,42,1,2,32,4,95.0,7,270000.0
96568,0,1,12,0,3,34,1,68.0,8,45000.0
158883,0,1,60,13,2,0,6,105.0,8,350000.0
10463,0,1,30,0,3,26,4,100.0,4,185000.0
104663,0,1,7,0,5,21,6,135.0,8,180000.0
58228,0,1,2,8,7,16,4,95.0,7,280000.0
118945,0,1,91,0,5,26,8,170.0,8,335000.0
71356,0,1,30,3,4,32,1,84.0,7,118000.0
344111,0,1,30,13,15,11,6,140.0,10,240000.0
176539,0,1,30,0,6,0,6,120.0,8,155000.0
288567,0,1,30,0,5,11,4,95.0,8,185000.0
330134,0,1,96,28,7,17,6,115.0,10,248000.0
387372,0,1,120,0,5,0,4,98.0,8,138000.0
73006,0,1,119,0,4,13,4,70.0,7,240000.0
38344,0,1,72,0,5,11,4,110.0,7,155000.0
27310,8,1,21,23,3,30,6,160.0,7,465000.0
291089,0,1,47,0,6,11,6,110.0,8,189000.0
328062,0,1,29,0,3,11,4,90.0,10,60000.0
10849,0,1,122,1,3,13,6,170.0,4,250000.0
150188,0,1,113,0,4,32,4,90.0,8,138000.0
317028,0,1,6,0,15,16,4,94.0,11,167000.0
350639,0,1,60,8,4,0,6,150.0,13,138000.0
269279,0,1,51,0,3,11,6,130.0,8,350000.0
214346,0,1,30,18,4,13,6,125.0,8,150000.0
29563,0,1,27,0,6,34,4,80.0,7,773500.0
189987,0,1,30,18,3,13,6,150.0,8,180000.0
272534,0,1,56,0,4,11,6,120.0,8,300000.0
134782,0,1,95,23,5,24,4,90.0,8,233000.0
257771,0,2,30,40,7,17,6,125.0,8,12500.0
50610,0,2,60,4,20,3,6,120.0,7,4000.0
75457,0,1,36,8,4,29,6,170.0,7,360000.0
401475,0,1,3,2,4,34,6,100.0,8,140000.0
227539,0,1,42,4,4,14,6,125.0,8,185000.0
93557,0,1,92,2,15,3,4,125.0,8,180000.0
16874,0,1,81,0,5,13,6,130.0,4,153000.0
243681,0,1,50,8,5,15,6,130.0,8,230000.0
132687,0,1,23,0,5,24,4,90.0,8,175000.0
385100,0,1,5,5,8,29,4,135.0,8,155000.0
188912,0,1,24,28,5,13,4,95.0,8,400000.0
67303,0,1,22,1,3,11,4,80.0,7,180000.0
160318,0,1,30,0,5,0,4,100.0,8,185000.0
349775,0,1,5,23,1,21,6,135.0,13,165000.0
308588,0,1,30,0,15,0,8,180.0,11,460000.0
322187,7,2,9,1,20,7,8,165.0,11,13750.0
268738,0,1,5,0,3,11,6,138.0,8,260000.0
378418,0,1,91,0,4,0,6,120.0,8,205000.0
394795,0,1,64,2,4,34,4,120.0,8,295000.0
333656,0,1,61,0,4,11,6,130.0,10,400000.0
121252,0,1,74,0,6,27,6,150.0,8,325000.0
361846,0,1,33,0,9,15,6,155.0,14,360000.0
392092,0,1,9,2,4,34,4,75.0,8,135000.0
13996,0,1,73,0,8,17,6,120.0,4,370000.0
